Name,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,NOF,NOPF,NOM,NOPM,NC,LCOM,FANIN,FANOUT,is_Mega
E:\githubdocu\MASPro\MSoft-master\msoft-auth,73,19,20,77,7,-0.571428571,-0.571428571,14,1,12,0,1,1,14,0,0,0,10,0,0,7,0,3,0,0,7,128,11,0,0,0,0,36,4,25,0,37,4,0,0,2,188,13,0,10,0,14,12,0,-0.615384615,6,6,0
E:\githubdocu\MASPro\MSoft-master\msoft-blog,25,5,14,2,0,-0.714285714,-0.714285714,5,1,4,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,32,3,0,0,0,0,8,3,0,0,1,0,0,0,0,52,9,0,1,0,5,4,0,-0.888888889,2,2,0
E:\githubdocu\MASPro\MSoft-master\msoft-core,675,699,171,959,1184,-0.253622461,-0.241762328,363,91,288,28,29,18,338,3,0,0,298,35,17,261,7,13,23,0,223,3335,349,21,76,76,20,278,81,408,23,583,80,9,18,42,2380,3306,51,358,17,392,311,1,-0.505479322,155,155,1
E:\githubdocu\MASPro\MSoft-master\msoft-es,11,2,2,4,0,NaN,NaN,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,2,0,1,0,2,0,0,0,0,21,2,0,1,0,2,2,0,-1,1,1,0
E:\githubdocu\MASPro\MSoft-master\msoft-gateway,42,18,8,61,22,-0.2,-0.2,16,1,15,1,0,0,15,0,0,0,2,1,1,1,0,0,1,0,1,113,18,0,0,0,0,13,3,13,0,23,5,0,1,6,113,15,3,3,1,16,15,0,-5,3,3,0
E:\githubdocu\MASPro\MSoft-master\msoft-member,25,3,11,24,0,-1,-1,3,1,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,45,4,0,0,0,0,8,0,8,0,14,1,0,0,5,45,7,0,1,0,3,3,0,-0.857142857,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\api-gateway,66,27,15,50,19,0.044444445,0.044444445,23,1,20,1,0,2,22,0,0,0,7,4,2,5,0,0,4,0,0,192,18,0,1,1,1,27,8,23,1,24,3,1,1,0,208,20,1,7,2,30,27,0,-0.5625,2,2,0
E:\githubdocu\MASPro\open-capacity-platform-master\business-center\back-center,1391,3345,319,2806,7183,0.203956449,0.239621468,1483,189,1173,78,25,207,1410,6,2,1,695,245,120,499,29,47,233,0,416,12797,1126,287,803,72,103,3409,853,2457,346,2196,293,5,10,19,8776,5501,41,712,120,1525,1204,42,-0.231936074,132,132,1
E:\githubdocu\MASPro\open-capacity-platform-master\inner-intergration\security-core,410,490,93,488,1990,0.02194421,0.0326842,311,86,259,29,10,13,285,0,15,0,165,55,8,157,0,0,54,0,77,3377,282,15,73,14,19,209,104,317,87,334,63,6,18,3,1979,2418,14,186,10,531,436,6,-0.282965279,48,48,1
E:\githubdocu\MASPro\open-capacity-platform-master\job-center,506,935,111,1019,1840,0.272059579,0.356032249,481,87,459,20,2,0,462,2,1,0,266,97,26,237,1,2,35,0,372,4155,375,41,197,64,60,648,216,741,112,643,118,9,3,0,2892,2171,91,271,26,502,480,11,-0.075529162,133,133,1
E:\githubdocu\MASPro\open-capacity-platform-master\monitor-center,12,3,2,8,0,1,1,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,29,2,0,0,0,0,16,0,4,1,5,0,0,0,0,27,2,0,1,0,3,3,0,-0.5,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\new-api-gateway,74,38,11,91,26,0.361111112,0.361111112,24,2,18,2,4,0,22,0,0,0,16,4,1,15,0,0,12,0,3,212,28,0,6,1,2,31,6,41,3,47,9,0,0,7,221,9,0,16,1,24,18,0,0.009259259,3,3,0
E:\githubdocu\MASPro\open-capacity-platform-master\oauth-center,402,297,69,428,261,0.145506625,0.158401958,192,8,130,12,7,43,180,0,0,0,108,28,0,108,0,0,26,0,18,1680,102,5,46,16,4,366,27,216,65,276,26,18,5,5,1363,77,16,121,1,215,152,2,-0.347433908,9,9,1
E:\githubdocu\MASPro\open-capacity-platform-master\register-center,12,4,2,4,2,0,0,4,1,4,0,0,0,4,0,0,0,2,1,0,2,0,0,1,0,0,19,3,0,0,0,0,4,0,2,0,3,0,0,0,0,22,2,0,2,0,4,4,0,0,1,1,0
E:\githubdocu\MASPro\open-capacity-platform-master\tuning-center,7,2,1,6,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,20,0,0,1,1,0,5,2,7,1,6,2,0,0,0,33,1,0,2,1,1,1,0,0,0,0,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-common,950,934,274,1060,1027,-0.186212606,-0.166579867,591,120,413,69,27,82,523,1,2,2,596,165,65,495,8,28,182,0,187,4585,360,35,106,43,23,526,198,816,63,944,101,4,20,5,5547,4510,79,686,87,624,435,19,-0.317553348,195,195,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-discovery,4,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-eureka,3,1,1,1,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,-1,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-gateway,40,28,8,38,27,0,0,17,1,13,3,1,0,14,0,0,0,7,6,0,7,0,0,6,0,0,127,15,0,0,2,0,28,6,18,1,19,3,0,0,0,157,5,5,7,0,23,19,0,-0.28,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-generator,22,15,6,26,15,0,0,15,10,10,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,67,5,0,0,0,0,17,0,10,0,10,0,0,0,0,105,5,0,0,0,15,10,0,-1,5,5,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-monitor,14,3,3,22,1,0,0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,14,3,0,0,0,0,0,0,0,42,2,0,0,0,3,2,0,-1,1,1,0
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider,2813,1844,525,2879,2660,-0.162769793,-0.156464975,1096,34,624,83,4,385,1014,0,0,0,1076,119,6,1055,3,12,121,0,92,9308,592,95,266,41,6,2347,337,1630,70,2456,169,0,2,18,11561,388,417,1080,6,1105,631,6,-0.494099115,393,393,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-provider-api,473,197,125,151,276,-0.637921727,-0.634682861,154,4,93,4,0,57,150,0,0,0,390,65,16,362,0,12,65,0,6,1336,54,2,18,4,2,316,67,149,10,445,8,0,12,2,2758,235,37,423,33,165,101,0,-93.69047619,30,30,1
E:\githubdocu\MASPro\paascloud-master-master\paascloud-zipkin,10,3,2,3,1,0,0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,2,1,0,1,0,0,0,0,32,2,0,0,0,3,2,0,-1,1,1,0
E:\githubdocu\MASPro\pig-master\pig-auth,97,29,12,146,48,0.022222223,0.022222223,23,1,20,1,2,0,22,0,0,0,8,0,0,8,0,0,8,0,9,191,16,0,2,0,3,32,3,34,5,45,4,0,0,2,229,7,3,8,0,23,20,0,-2.342857143,1,1,0
E:\githubdocu\MASPro\pig-master\pig-common,722,517,149,880,948,-0.115248165,-0.094046188,303,26,235,47,14,7,256,3,1,0,198,30,3,144,2,49,61,0,98,2673,253,9,90,29,14,296,64,528,72,560,56,2,8,41,2899,3273,23,213,3,316,243,8,-0.424551625,85,85,1
E:\githubdocu\MASPro\pig-master\pig-gateway,97,39,13,148,16,-0.25,-0.25,19,1,16,3,0,0,16,0,0,0,16,7,0,16,0,0,14,0,5,248,29,0,3,3,2,23,8,50,4,67,11,1,0,10,365,11,7,16,0,21,18,0,-0.181818182,5,5,0
E:\githubdocu\MASPro\pig-master\pig-register,209,229,28,280,105,0.336503973,0.412597721,115,4,96,16,3,0,99,0,0,0,85,33,8,73,0,4,38,0,17,969,116,12,19,12,5,161,19,171,32,174,22,0,0,1,994,24,11,85,8,115,96,1,0.087660256,32,32,1
E:\githubdocu\MASPro\pig-master\pig-upms,531,203,104,424,205,-0.297565821,-0.296969696,177,1,111,5,0,61,172,0,0,0,166,16,0,166,0,0,45,0,30,1004,116,1,9,2,1,327,23,97,5,259,11,0,0,15,1567,76,5,166,0,177,111,0,-0.661873434,71,71,1
E:\githubdocu\MASPro\pig-master\pig-visual,1149,3060,226,2630,8679,0.264330979,0.401221374,1489,96,1309,96,33,51,1394,2,1,9,728,134,31,659,32,6,127,0,881,12181,1621,94,683,124,127,1650,1160,1816,406,1625,194,23,6,96,7172,3407,155,736,31,1541,1353,24,-0.130787644,348,348,1
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-common,80,234,34,263,261,-0.054406926,-0.046787878,109,93,95,14,0,0,95,0,0,0,59,28,13,28,0,18,27,0,75,1050,101,18,42,19,14,117,147,241,62,223,36,1,1,2,831,1051,6,60,13,110,95,1,0.037037037,19,19,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-eureka,7,11,4,25,1,NaN,NaN,4,3,2,1,1,0,3,0,0,0,4,4,0,4,0,0,4,0,4,71,0,0,1,3,0,14,4,15,5,13,4,0,0,0,97,3,0,4,0,4,2,0,-1,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-hystrix-monitor,5,10,2,18,1,NaN,NaN,3,3,2,1,0,0,2,0,0,0,4,4,0,4,0,0,4,0,4,66,0,0,1,3,0,14,4,15,5,13,4,0,0,0,89,2,0,4,0,3,2,0,0,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-intermediate-service,68,118,10,159,68,0.304647438,0.3463141,74,43,67,6,0,1,68,0,0,0,21,12,1,20,0,0,10,0,26,523,76,1,14,15,4,72,29,83,26,81,12,1,0,2,396,10,17,21,1,75,68,0,0.246666667,4,4,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage,51,48,12,73,20,0.285714286,0.285714286,27,4,19,1,0,7,26,0,0,0,26,4,0,26,0,0,4,0,4,275,12,3,6,3,0,48,6,43,12,60,9,2,0,0,255,12,4,26,0,29,21,0,-0.5,6,6,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-mqmessage-api,8,12,5,17,4,-0.75,-0.75,5,2,4,1,0,0,4,0,0,0,16,4,0,12,0,4,4,0,4,84,0,0,1,3,0,20,7,19,5,25,4,0,0,0,138,5,0,16,0,5,4,0,-0.6,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order,99,104,24,171,92,-0.064564006,-0.045083491,68,8,40,2,0,26,66,0,0,0,33,7,0,32,0,1,5,0,10,554,41,8,8,8,0,111,29,84,23,105,18,3,0,1,464,24,7,33,0,71,43,2,-0.494408369,14,14,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-order-api,226,282,51,420,184,-0.056050571,-0.040763776,174,57,130,10,0,34,164,0,0,0,96,27,1,90,0,5,23,0,44,1436,129,12,29,29,4,251,71,229,66,271,43,6,0,3,1253,51,28,96,1,180,136,2,-1.347741703,6.25,25,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product,46,41,10,73,22,0.13333334,0.13333334,28,4,16,2,0,10,26,0,0,0,21,4,0,21,0,0,4,0,7,223,11,2,3,4,0,33,13,49,11,61,7,0,0,0,245,10,2,21,0,28,16,0,-0.266666667,7,7,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-product-api,9,12,3,17,4,-0.5,-0.5,5,2,4,1,0,0,4,0,0,0,13,4,0,13,0,0,4,0,4,77,0,0,1,3,0,19,4,15,5,22,4,0,0,0,116,3,0,13,0,5,4,0,-0.333333333,1,1,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user,25,38,7,27,62,0.418181818,0.418181818,31,3,30,1,0,0,30,0,0,0,11,4,0,11,0,0,4,0,4,155,7,0,1,3,0,21,4,24,5,24,4,0,0,0,156,7,0,11,0,31,30,0,-0.207792208,5,5,0
E:\githubdocu\MASPro\synthetic-system-master\synthetic-system-user-api,9,22,4,18,46,0.09090909,0.09090909,15,2,14,1,0,0,14,0,0,0,9,4,0,9,0,0,4,0,4,110,6,0,1,3,0,19,4,21,5,19,4,0,0,0,118,4,0,9,0,15,14,0,-0.454545455,1,1,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-basic-info-service\,110,122,13,123,196,0.261904762,0.261904762,117,1,96,0,1,20,117,0,0,0,39,2,0,34,0,5,2,0,0,610,49,0,5,0,1,137,3,166,9,159,1,1,0,0,396,12,22,39,0,118,97,1,-3.142857143,8,8,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-order-service,85,51,9,95,11,0.422222225,0.422222225,35,1,30,0,1,4,35,0,0,0,28,2,0,27,0,1,2,0,0,296,17,0,10,0,1,75,33,77,7,94,2,7,0,0,302,8,16,28,0,36,31,1,-0.172222222,9,9,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-route-service,83,27,10,65,7,0.111111111,0.111111111,24,1,20,0,1,3,24,0,0,0,25,2,2,22,0,1,2,0,0,155,10,0,3,0,0,33,0,25,2,42,1,3,0,0,260,9,6,25,2,25,21,1,-0.444444444,10,10,0
E:\githubdocu\MASPro\train-ticket-master\ts-admin-travel-service,97,60,14,83,13,0.109090909,0.109090909,44,1,39,0,1,4,44,0,0,0,43,2,0,42,0,1,2,0,0,390,16,0,11,0,0,76,36,107,5,115,2,7,0,0,334,13,15,43,0,45,40,1,-0.262937063,15,15,1
E:\githubdocu\MASPro\train-ticket-master\ts-admin-user-service,94,38,11,71,10,0.133333333,0.133333333,30,1,25,0,1,4,30,0,0,0,35,3,0,34,0,1,3,0,0,225,16,0,8,0,0,51,16,47,6,69,1,5,0,0,286,10,14,35,0,31,26,1,-4.2,11,11,0
